ID,Lat,Lon,Lower depth (cm),Upper depth (cm),clay,ph,sand,silt
1,25.512,78.534,15.0,0.0,28.166666666666664,7.299999999999999,42.53333333333333,29.233333333333334
2,25.512,78.534,30.0,15.0,30.8,7.3,41.1,28.0
3,25.512,78.534,45.0,30.0,31.0,7.4,40.0,29.0
4,43.4166666666666,82.8333333333333,10.0,0.0,22.15,8.05,29.2,48.65
5,43.4166666666666,82.8333333333333,20.0,10.0,23.1,8.05,29.25,47.65
6,43.4166666666666,82.8333333333333,30.0,20.0,23.2,8.1,29.5,47.3
7,43.4166666666666,82.8333333333333,40.0,30.0,24.0,8.2,28.9,47.1
8,43.4166666666666,82.8333333333333,50.0,40.0,24.0,8.2,28.9,47.1
9,43.4166666666666,82.8333333333333,60.0,50.0,24.0,8.2,28.9,47.1
10,-9.37916184430807,-37.2588658267733,50.0,0.0,29.880000000000003,6.300000000000001,49.629999999999995,20.520000000000003
11,-9.37916184430807,-37.2588658267733,50.0,0.0,29.880000000000003,6.300000000000001,49.629999999999995,20.520000000000003
12,-9.68430304272149,-37.1283642392564,70.0,0.0,28.835714285714285,6.65,49.99285714285714,21.16428571428571
13,-11.4614697720205,-41.4383081473457,100.0,0.0,32.47,6.6899999999999995,45.32,22.195
14,-11.4614697720205,-41.4383081473457,30.0,0.0,30.53333333333333,6.666666666666666,46.63333333333333,22.78333333333333
15,-10.4792307257339,-40.0856897626794,50.0,0.0,32.18,6.26,49.290000000000006,18.57
16,-10.4792307257339,-40.0856897626794,70.0,0.0,32.585714285714275,6.2142857142857135,48.90714285714286,18.564285714285713
17,-10.4792307257339,-40.0856897626794,50.0,0.0,32.18,6.26,49.290000000000006,18.57
18,-6.32675571240312,-37.755684302948,90.0,0.0,31.855555555555554,5.983333333333333,46.48888888888889,21.666666666666664
19,-6.32675571240312,-37.755684302948,70.0,0.0,31.099999999999998,6.007142857142856,47.02857142857143,21.885714285714283
20,-6.32675571240312,-37.755684302948,90.0,0.0,31.855555555555554,5.983333333333333,46.48888888888889,21.666666666666664
21,-6.88277649879816,-36.9130446040907,50.0,0.0,24.85,6.300000000000001,49.47,25.71
22,-6.88277649879816,-36.9130446040907,70.0,0.0,26.62142857142857,6.285714285714285,48.37857142857142,25.02142857142857
23,-7.57884811580526,35.8687890442897,50.0,0.0,28.29,5.960000000000001,56.56,15.13
24,-7.57884811580526,35.8687890442897,50.0,0.0,28.29,5.960000000000001,56.56,15.13
25,-7.57884811580526,35.8687890442897,50.0,0.0,28.29,5.960000000000001,56.56,15.13
26,-7.57884811580526,35.8687890442897,50.0,0.0,28.29,5.960000000000001,56.56,15.13
27,-7.57884811580526,35.8687890442897,50.0,0.0,28.29,5.960000000000001,56.56,15.13
28,-7.58884811580526,35.8687890442897,50.0,0.0,29.510000000000005,5.960000000000001,58.260000000000005,12.23
29,-7.58884811580526,35.8687890442897,50.0,0.0,29.510000000000005,5.960000000000001,58.260000000000005,12.23
30,-7.58884811580526,35.8687890442897,50.0,0.0,29.510000000000005,5.960000000000001,58.260000000000005,12.23
31,43.5,116.816666666666,10.0,0.0,18.25,7.85,52.35,29.4
32,43.5,116.816666666666,20.0,10.0,19.25,7.9,51.3,29.450000000000003
33,43.5,116.816666666666,30.0,20.0,20.3,7.9,50.4,29.3
34,43.5,116.816666666666,10.0,0.0,18.25,7.85,52.35,29.4
35,43.5,116.816666666666,20.0,10.0,19.25,7.9,51.3,29.450000000000003
36,43.5,116.816666666666,30.0,20.0,20.3,7.9,50.4,29.3
37,37.553965,33.99877,25.0,0.0,39.38,7.54,20.96,39.660000000000004
38,37.535242,33.766013,25.0,0.0,,,,
39,37.678628318836,33.9076495953402,25.0,0.0,35.72,7.78,20.42,43.900000000000006
40,36.34117,52.70814,25.0,0.0,42.36,6.400000000000001,14.580000000000002,43.06
41,36.34117,52.70814,25.0,0.0,42.36,6.400000000000001,14.580000000000002,43.06
42,-25.5,-63.35,20.0,0.0,24.975,6.75,31.549999999999997,43.475
43,-25.5,-63.35,20.0,0.0,24.975,6.75,31.549999999999997,43.475
44,-25.5,-63.35,20.0,0.0,24.975,6.75,31.549999999999997,43.475
45,-24.5,-63.4,20.0,0.0,29.35,6.9,30.05,40.625
46,-24.5,-63.4,20.0,0.0,29.35,6.9,30.05,40.625
47,7.85,38.7,100.0,0.0,27.295,7.725,25.635,47.07
48,38.99453,100.37896,20.0,0.0,19.4,8.375,44.224999999999994,36.45
49,38.99453,100.37896,50.0,20.0,21.466666666666665,8.466666666666665,44.199999999999996,34.33333333333333
50,38.99453,100.37896,100.0,50.0,20.82,8.5,45.120000000000005,34.06
51,38.99453,100.37896,150.0,100.0,18.2,8.4,45.5,36.3
52,38.99453,100.37896,20.0,0.0,19.4,8.375,44.224999999999994,36.45
53,38.99453,100.37896,50.0,20.0,21.466666666666665,8.466666666666665,44.199999999999996,34.33333333333333
54,38.99453,100.37896,100.0,50.0,20.82,8.5,45.120000000000005,34.06
55,38.99453,100.37896,150.0,100.0,18.2,8.4,45.5,36.3
56,38.99453,100.37896,20.0,0.0,19.4,8.375,44.224999999999994,36.45
57,38.99453,100.37896,50.0,20.0,21.466666666666665,8.466666666666665,44.199999999999996,34.33333333333333
58,38.99453,100.37896,100.0,50.0,20.82,8.5,45.120000000000005,34.06
59,38.99453,100.37896,150.0,100.0,18.2,8.4,45.5,36.3
60,38.99453,100.37896,20.0,0.0,19.4,8.375,44.224999999999994,36.45
61,38.99453,100.37896,50.0,20.0,21.466666666666665,8.466666666666665,44.199999999999996,34.33333333333333
62,38.99453,100.37896,100.0,50.0,20.82,8.5,45.120000000000005,34.06
63,38.99453,100.37896,150.0,100.0,18.2,8.4,45.5,36.3
64,38.99453,100.37896,20.0,0.0,19.4,8.375,44.224999999999994,36.45
65,38.99453,100.37896,50.0,20.0,21.466666666666665,8.466666666666665,44.199999999999996,34.33333333333333
66,38.99453,100.37896,100.0,50.0,20.82,8.5,45.120000000000005,34.06
67,38.99453,100.37896,150.0,100.0,18.2,8.4,45.5,36.3
68,38.99453,100.37896,20.0,0.0,19.4,8.375,44.224999999999994,36.45
69,38.99453,100.37896,50.0,20.0,21.466666666666665,8.466666666666665,44.199999999999996,34.33333333333333
70,38.99453,100.37896,100.0,50.0,20.82,8.5,45.120000000000005,34.06
71,38.99453,100.37896,150.0,100.0,18.2,8.4,45.5,36.3
72,29.9965721002893,51.384777167639,30.0,0.0,23.633333333333333,7.883333333333333,26.633333333333333,49.766666666666666
73,-3.75,33.0,20.0,0.0,21.125,6.025,68.775,10.1
74,-3.75,33.0,40.0,20.0,22.65,6.15,67.35,9.95
75,-3.75,33.0,60.0,40.0,23.0,6.2,67.0,9.9
76,-3.75,33.0,80.0,60.0,23.1,6.3,66.6,10.3
77,-3.75,33.0,100.0,80.0,23.1,6.3,66.6,10.3
78,-3.75,33.0,20.0,0.0,21.125,6.025,68.775,10.1
79,-3.75,33.0,40.0,20.0,22.65,6.15,67.35,9.95
80,-3.75,33.0,60.0,40.0,23.0,6.2,67.0,9.9
81,-3.75,33.0,80.0,60.0,23.1,6.3,66.6,10.3
82,-3.75,33.0,100.0,80.0,23.1,6.3,66.6,10.3
83,-7.99194444444444,-38.2997222222222,5.0,0.0,,,,
84,-7.99194444444444,-38.2997222222222,10.0,5.0,,,,
85,-7.99194444444444,-38.2997222222222,20.0,10.0,,,,
86,-17.808,23.731,10.0,0.0,,,,
87,-17.808,23.731,20.0,10.0,,,,
88,-17.808,23.731,40.0,20.0,,,,
89,-17.808,23.731,70.0,40.0,,,,
90,-17.808,23.731,100.0,70.0,,,,
91,-17.808,23.731,10.0,0.0,,,,
92,-17.808,23.731,20.0,10.0,,,,
93,-17.808,23.731,40.0,20.0,,,,
94,-17.808,23.731,70.0,40.0,,,,
95,-17.808,23.731,100.0,70.0,,,,
96,-17.194,24.066,10.0,0.0,16.4,6.1,62.800000000000004,20.8
97,-17.194,24.066,20.0,10.0,15.5,6.1,64.80000000000001,19.700000000000003
98,-17.194,24.066,40.0,20.0,16.6,6.05,64.25,19.1
99,-17.194,24.066,70.0,40.0,17.666666666666664,6.066666666666666,63.16666666666666,19.1
100,-17.194,24.066,100.0,70.0,18.0,6.2,62.9,19.1
101,-17.194,24.066,10.0,0.0,16.4,6.1,62.800000000000004,20.8
102,-17.194,24.066,20.0,10.0,15.5,6.1,64.80000000000001,19.700000000000003
103,-17.194,24.066,40.0,20.0,16.6,6.05,64.25,19.1
104,-17.194,24.066,70.0,40.0,17.666666666666664,6.066666666666666,63.16666666666666,19.1
105,-17.194,24.066,100.0,70.0,18.0,6.2,62.9,19.1
106,7.86023,38.71292,15.0,0.0,29.6,7.099999999999999,22.5,47.9
107,7.86023,38.71292,30.0,15.0,28.8,7.1,23.5,47.7
108,7.86023,38.71292,45.0,30.0,30.2,7.4,24.0,45.8
109,7.86023,38.71292,60.0,45.0,30.2,7.4,24.0,45.8
110,7.86023,38.71292,15.0,0.0,29.6,7.099999999999999,22.5,47.9
111,7.86023,38.71292,30.0,15.0,28.8,7.1,23.5,47.7
112,7.86023,38.71292,45.0,30.0,30.2,7.4,24.0,45.8
113,7.86023,38.71292,60.0,45.0,30.2,7.4,24.0,45.8
114,7.86023,38.71292,15.0,0.0,29.6,7.099999999999999,22.5,47.9
115,7.86023,38.71292,30.0,15.0,28.8,7.1,23.5,47.7
116,7.86023,38.71292,45.0,30.0,30.2,7.4,24.0,45.8
117,7.86023,38.71292,60.0,45.0,30.2,7.4,24.0,45.8
118,33.5632024515226,48.8644010782658,15.0,0.0,39.766666666666666,7.666666666666666,16.799999999999997,43.43333333333333
119,33.5632024515226,48.8644010782658,15.0,0.0,39.766666666666666,7.666666666666666,16.799999999999997,43.43333333333333
120,-28.168,-62.99,20.0,0.0,15.2,6.775,43.45,41.300000000000004
121,-28.168,-62.99,40.0,20.0,12.25,7.050000000000001,45.9,41.849999999999994
122,-28.168,-62.99,60.0,40.0,11.2,7.2,47.0,41.8
123,-28.168,-62.99,80.0,60.0,10.9,7.4,48.0,41.0
124,-28.168,-62.99,100.0,80.0,10.9,7.4,48.0,41.0
125,-28.168,-62.99,20.0,0.0,15.2,6.775,43.45,41.300000000000004
126,-28.168,-62.99,40.0,20.0,12.25,7.050000000000001,45.9,41.849999999999994
127,-28.168,-62.99,60.0,40.0,11.2,7.2,47.0,41.8
128,-28.168,-62.99,80.0,60.0,10.9,7.4,48.0,41.0
